ABGOESSEXXX,8ZQH7RR6DBQZIX8PEQ84,"ABENGOA, S.A.",,,,,,,,,,,,,
ABIEBGS1XXX,8945007TB0JVC9EJXT20,ABV Investments LTD,,,,,,,,,,,,,
ABINAEAAXXX,254900DL7PC062J4GT47,Arab Bank For Investment & Foreign Trade,,,,,,,,,,,,,
ABIRESBBXXX,549300GKFVWI02JQ5332,ABERTIS INFRAESTRUCTURAS SA,,,,,,,,,,,,,
ABIVZAJ1XXX,2549008QC5MTGCB0W334,Abax Investments (Pty) Limited,,,,,,,,,,,,,
ABIXBEBBXXX,5493008H3828EMEXB082,Anheuser-Busch InBev,,,,,,,,,,,,,
ABKBDEBBXXX,391200DOLQBXF4UYLC89,ABK Allgemeine Beamten Bank AG,,,,,,,,,,,,,
ABKFDKK1XXX,549300GO7SF5HVVJOX58,Absalon Capital Fondsmæglerselskab A/S,,,,,,,,,,,,,
ABKKKWKWXXX,254900PGVVLJTOEWLL80,Al Ahli Bank of Kuwait (Kuwait Shareholding Co.),,,,,,,,,,,,,
ABKLCY2NXXX,529900VS0F7BA91P4I60,ALPHA BANK CYPRUS LTD,,,,,,,,,,,,,
ABKSDEF1XXX,391200J18BED8HL66D59,"ABK-Systeme Gesellschaft für Ausbildung, Beratung und Kommunikationssysteme mbH",,,,,,,,,,,,,
ABLPLT21XXX,98450048CED1FEB7FP14,Akcinė bendrovė Lietuvos paštas,,,,,,,,,,,,,
ABMDTRI1XXX,789000UNLEODCST6JF75,ING MENKUL DEĞERLER ANONİM ŞİRKETİ,,,,,,,,,,,,,
ABMGMGMGXXX,254900B1TF2LPYRA6J54,AccèsBanque Madagascar SA - CA,,,,,,,,,,,,,
ABMLITM1XXX,81560050FAF1DB725C41,2019 POPOLARE BARI SME S.R.L.,,,,,,,,,,,,,
ABMZMZMAXXX,2138004B6ZS1X5867V18,ABSA BANK MOCAMBIQUE S.A.,,,,,,,,,,,,,
ABNABRSPXXX,254900C8AHNB9PNIWL19,Banco ABN AMRO S.A.,,,,,,,,,,,,,
